gene	log2FC	FDR
MAP7	3.17	3.31182165497229e-6
ANKRD36	-1.67	9.65720440745411e-6
ZNF185	5.38	5.19250432053183e-6
EGF	4.45	5.19250432053183e-6
LSM11	1.78	1.02915080868023e-5
SYCE3	8.71	7.03006840001512e-7
SLC27A2	3.29	1.02915080868023e-5
BBS12	2.26	1.19992737993308e-5
LRRC16A	2.51	1.22941409723201e-5
CDH24	1.88	1.61403724325859e-5
CREG1	1.65	2.48415099770193e-5
ENPP3	4.38	1.19992737993308e-5
MMP14	1.39	2.66895274717214e-5
DENND5B	2.27	2.66895274717214e-5
GABARAPL1	3.11	2.66895274717214e-5
ABHD4	1.46	2.66895274717214e-5
RALGAPA1	1.77	3.03868407161448e-5
PRAME	7.75	1.19992737993308e-5
ACOT9	4.98	2.5303167812325e-5
CNKSR3	1.74	5.39778209883597e-5
TMEM2	2.11	6.01487410247945e-5
RASSF8	2.15	7.47204817122479e-5
PERP	6.82	2.66895274717214e-5
CHRNA1	5.27	2.66895274717214e-5
HINT3	1.58	7.60218212478541e-5
ABHD14B	-1.75	7.76314775875367e-5
SLC25A37	-1.17	7.60218212478541e-5
CIZ1	-2.64	9.08306217253035e-5
NFAM1	3.51	9.40589765349898e-5
PLXDC1	6.7	4.30182199918544e-5
ANKRD36C	-2.16	9.40589765349898e-5
INPP5E	-2.65	9.87027708874605e-5
CASP10	-1.8	1.1097634846174e-4
ERMP1	1.98	1.1097634846174e-4
ZFAND4	2.71	1.1113161332166e-4
CCNB3	3.42	1.0541472070924e-4
MIF4GD	-1.92	1.2340723299676e-4
SLC4A4	3.45	1.1097634846174e-4
NQO1	2.11	1.2586084065586e-4
NLRX1	-1.78	1.2691889126743e-4
MAPT	2.39	1.2054248554843e-4
PHLPP1	0.98	1.2340723299676e-4
EXT2	-1.21	1.2740100912615e-4
GBAS	-1.1	1.2740100912615e-4
ATL1	2.55	1.4864709187141e-4
AQP9	5.54	9.60479265843142e-5
PRKAG1	1.12	1.5633556514968e-4
NUTM1	5.25	9.60479265843142e-5
TLE4	1.75	1.5633556514968e-4
ACO1	-1.48	1.6347318151753e-4
GUCY1A2	1.78	1.7629896313317e-4
LPIN1	1.44	1.6347318151753e-4
LGR5	4.02	1.8279138234303e-4
UBL3	1.46	1.6378794547859e-4
UBE3D	-1.34	2.0261946374086e-4
TARBP1	0.91	1.8279138234303e-4
METTL25	1.68	2.0261946374086e-4
CTCF	0.9	1.93649198186e-4
STAG1	1.26	1.93649198186e-4
FCGBP	4.49	1.6347318151753e-4
RSAD1	-1.71	2.0652574610949e-4
PLEKHH1	2.21	2.2357371612728e-4
RORB	1.43	2.0634011869614e-4
GAPT	1.72	2.3094876177405e-4
FGD6	1.93	2.3094876177405e-4
FRMPD1	3.06	2.3148822695725e-4
STAM2	0.94	2.1368876045819e-4
SNX33	1.19	2.3094876177405e-4
WASF3	1.26	2.3094876177405e-4
MYC	-1.16	2.3090329130235e-4
SAAL1	-2.11	2.5227143953547e-4
SHB	2.05	2.6672451856335e-4
THEM6	-1.45	2.6657314320259e-4
MFI2	-0.77	0.00024507276875518997
C1RL	-2.22	2.7168177859397e-4
ENPP1	2.08	2.7713878346557e-4
NBR1	0.79	2.5058254849566e-4
LIMK1	1.02	2.6657314320259e-4
CACNA2D1	1.6	2.924967584714e-4
ANKRD6	2.95	2.924967584714e-4
FADS1	-1.11	2.6657314320259e-4
NGFR	3.83	2.6657314320259e-4
NUTM2D	1.67	3.045858069649e-4
PXDN	1.26	2.6657314320259e-4
FAM160B1	1.28	2.7048679642728e-4
RUFY2	-1.38	3.0755804020929e-4
PIP5K1B	1.72	3.1189653624257e-4
ASAP1	1.66	2.8217743322326e-4
TAMM41	-2.75	3.1696577372652e-4
NDFIP1	1.81	3.1696577372652e-4
ELOVL6	-0.83	2.8217743322326e-4
SMIM8	-1.83	3.1915477366823e-4
ACVR1C	2.83	3.2871768940041e-4
FAM89B	1.01	3.1119763495043e-4
UACA	-1.3	3.1888255195461e-4
RP11-477N12.3	5.09	2.7713878346557e-4
ZMAT3	1.75	3.1696577372652e-4
PLK2	1.97	3.5148057472131e-4
ANKRD46	-1.86	3.1696577372652e-4
TJP2	1.31	3.1189653624257e-4
SLC41A2	2.46	3.4495871596017e-4
INPP5K	0.89	3.1696577372652e-4
MZT2A	-1.34	3.1430503544126e-4
C19orf60	-1.49	3.3609824844111e-4
SLC35B2	-1.75	3.4495871596017e-4
PLCB3	-0.83	3.2075184680953e-4
ATP6V0E2	0.96	3.2075184680953e-4
OCRL	-2.65	3.6186500087673e-4
ZBTB39	-2.84	3.5416063037004e-4
HECTD2	1.46	3.5148057472131e-4
CCBL1	-1.25	3.5148057472131e-4
BPI	3.08	3.1189653624257e-4
TLL2	2.37	3.6186500087673e-4
PIGO	-1.22	3.5148057472131e-4
PPA2	-2.07	3.5148057472131e-4
PCSK5	2.08	3.617738160632e-4
MMAA	1.26	3.617738160632e-4
SMARCA2	0.8	3.4495871596017e-4
PRICKLE1	-0.98	3.6186500087673e-4
SLC22A5	2.15	3.8996836652188e-4
MTUS2	3.01	3.8996836652188e-4
EIF2D	-0.96	3.5154041786861e-4
HSD17B8	-1.8	3.8996836652188e-4
FAM216A	-1.08	3.5416063037004e-4
EPDR1	-1.18	3.8465787682404e-4
MEST	-1.69	3.6186500087673e-4
DPP8	-1.12	3.5416063037004e-4
PAQR4	-0.9	3.6186500087673e-4
CD55	-1.25	3.8996836652188e-4
UPK3BL	0.77	3.6186500087673e-4
PRUNE2	0.83	3.6585128402342e-4
B3GALTL	-1.78	3.8996836652188e-4
ARSD	1.15	3.6186500087673e-4
UBE2W	1.22	3.6186500087673e-4
KIAA1614	-1.06	3.8996836652188e-4
CASP3	1	3.7691128738993e-4
MSRB3	3.57	3.8835321490805e-4
APP	-0.8	3.8465787682404e-4
ABCA5	1.93	4.1232633421274e-4
TLR1	-2.4	4.2691279065313e-4
RELL1	0.97	4.3418358223755e-4
SLC25A45	1.71	4.4316588999101e-4
LRP10	1.26	3.8996836652188e-4
ARNTL2	1.19	4.2978041899969e-4
SEMA3D	6.05	4.2638530377354e-4
IGSF3	0.7	3.8996836652188e-4
LRRC28	1.15	4.3985963286984e-4
ZCCHC24	1.15	4.5915212862835e-4
MERTK	1.58	5.0173141167519e-4
LCN10	-1.05	4.3985963286984e-4
METTL5	-1.81	4.5698504596823e-4
DNPH1	-1.63	4.6300042320673e-4
EME1	-0.84	4.4316588999101e-4
NSMCE4A	-2.18	4.6300042320673e-4
ACTN1	0.97	4.3418358223755e-4
IQGAP2	-0.77	4.3985963286984e-4
CDCA7L	-0.94	4.3985963286984e-4
KIAA0895	2.34	5.5194550886196e-4
TTC5	-1.37	4.8280184103274e-4
AARS2	-2.03	4.7826806771823e-4
ALDH3A2	-0.96	4.5915212862835e-4
TERT	-1.54	4.9911989384253e-4
C6orf1	1.23	5.4138387369406e-4
SOX5	2.97	4.8280184103274e-4
CRIP1	0.92	4.6596228303821e-4
EFEMP1	2.05	5.6946255164304e-4
MAP3K9	1.56	5.7379987786855e-4
C10orf71	2.37	5.7379987786855e-4
ACSM3	-2.02	5.9887350003824e-4
FCHO2	1.66	5.7379987786855e-4
FCER2	2.65	5.7763285270838e-4
WDR70	-1.02	5.0770858316647e-4
EMP1	0.87	5.0770858316647e-4
HDDC3	-2.5	5.7379987786855e-4
TARSL2	0.9	5.0770858316647e-4
SPATA20	-1.69	5.7379987786855e-4
RNF216	0.84	5.329493053542e-4
ADAMTS1	-1.27	6.160107315607e-4
DHRS13	-1.73	6.160107315607e-4
