Region	log2FC.delta_RBR_plus__VS__WT_plus	FDR.delta_RBR_plus__VS__WT_plus	log2FC.delta_Z1_plus__VS__WT_plus	FDR.delta_Z1_plus__VS__WT_plus	log2FC.delta_Z10_plus__VS__WT_plus	FDR.delta_Z10_plus__VS__WT_plus
chr1:805086-805594	0.0363106685420572	0.91211467804987	0.0799172229482211	0.60905475289331	0.6658249937021109	3.6006532523676e-7
chr1:848253-848466	-0.32207574536892303	0.573734224173862	0.1302793890301709	0.720623038653183	-1.79862643418445	1.04284463627102e-4
chr1:856429-856740	0.620488857893162	0.0416821781801301	0.311205221605466	0.253120391951147	0.675661701153353	0.00439577881539774
chr1:873483-873845	0.0895911579644383	0.8600518243417241	-1.24153004751046	4.55499804572188e-6	0.559545116928312	0.00641774814956001
chr1:886843-887113	0.557663402239595	0.384697684778598	1.35976949503211	2.14699673821722e-4	0.6758425378524471	0.0947471703316235
chr1:911418-911782	0.0880301653356112	0.8081414293363159	-0.885257902957495	4.15347621893971e-6	-0.134370567632196	0.484328644259099
chr1:919482-919908	-0.461224161959569	0.00220946861053452	-0.190608978935021	0.180930449997465	-0.391810226706815	0.00443971123207704
chr1:950777-951076	0.135732171291723	0.818645746277934	0.108361736666403	0.749228510984061	-0.118567740611818	0.693851234088994
chr1:954638-954986	0.647474055108712	0.00164662767480498	1.01432007924758	9.77364462922886e-9	-1.62683432429697	3.07493572854537e-7
chr1:968283-968649	0.0887703192138186	0.7903849421390999	-0.929629871979338	1.49852972710454e-7	-0.211974811011872	0.1807465375869931
chr1:994621-994985	0.1616634485592469	0.6653030958878371	0.36619529150195	0.0642174335361966	0.2841503701937489	0.127357715725013
chr1:999172-999572	0.0665960353763622	0.8368665921229091	-5.03763325729616e-4	0.9981330121326272	0.5559180701550079	7.45836815660412e-5
chr1:1057449-1057833	-0.239514186512501	0.249659344007263	-0.946068241960935	1.38436904185342e-9	0.0471505828533724	0.759267946079337
chr1:1185640-1185885	0.481376845949229	0.32838386480269	0.407724791295528	0.238750522690917	-0.116670464959687	0.761238415163095
chr1:1227290-1227565	0.216058638447585	0.6962938442078771	0.4016280159739629	0.166029876681015	0.249512948713812	0.3841576021275929
chr1:1235433-1235737	-0.0425839462804405	0.958325962714341	0.5473983271268901	0.0452809501806023	-1.05687953932	0.0018781024277188
chr1:1237324-1237686	0.0807591906905975	0.870494710759229	0.5163077188506261	0.0109604563966955	-0.173050621373302	0.4542374798290929
chr1:1280036-1280339	0.148918394383234	0.7839420194634609	-0.308218585035122	0.296841651410524	0.4512403615421041	0.0617246651019227
chr1:1284610-1284980	0.223824891174098	0.4338224018899289	0.214882111748568	0.266771687653394	0.95517930960837	1.57400044689835e-6
chr1:1285095-1285487	-0.034190073457695	0.938931624599854	0.0192145728317276	0.93271806594989	0.344118998787222	0.0266882738278598
chr1:1307406-1307843	0.0109154695297238	0.978321270311947	0.402210282300992	0.00263554595637225	-0.499074540088636	5.81341796235363e-4
chr1:1310500-1310744	0.9076480807102192	0.007953528753439321	0.535987985209326	0.0925219969860498	0.7139189564820559	0.0202422870821764
chr1:1334785-1335132	0.416458136980995	0.0839916830793327	0.34785756678608	0.0716384108875201	-0.14201964011822	0.500589873612253
chr1:1337448-1337741	0.411717940178882	0.37168001103634	0.294605760485462	0.364142130541744	0.508322091643669	0.0654738830771786
chr1:1376277-1376722	-0.0745503863973171	0.8256160877259721	-0.0451318042731002	0.819531496013452	-0.318107895156536	0.0387103218261945
chr1:1440123-1440670	0.119997969657395	0.7279610973427699	-0.116594352398282	0.5765032555786651	-1.64807756390351	2.18314899877226e-9
chr1:1440894-1441185	0.0723707833008031	0.91266313391763	-0.322986141268495	0.275436126643087	0.17753146393039	0.5079299105719
chr1:1486445-1486883	0.0420605027303061	0.9557189132994408	0.348972943488923	0.212739119667348	-0.9873965861813192	0.002669159880902461
chr1:1580221-1580545	-0.563907463135717	0.36099058906011	-0.0568265127969477	0.904427284910795	-0.0999296845048453	0.8056414544276701
chr1:1597121-1597514	0.204477438436507	0.539133341321899	0.0451326984374191	0.8576549802023359	0.6718989479342149	1.83485171799402e-4
chr1:1710414-1710738	0.55989822082248	0.0282495821784704	-0.58903271034778	0.0175234364704851	0.583581549109431	0.00343609420615326
chr1:1720540-1720779	0.127307374300579	0.8737526841753459	0.5980288482649829	0.0699849760112161	0.622694527280092	0.0431481533146869
chr1:1728003-1728256	-0.141650912084047	0.8466124151500151	-0.0549885381709417	0.8942430799069669	-0.652058107677032	0.0564714842774651
chr1:1837676-1838065	-0.0855161657524777	0.801336474073254	-0.141390035372805	0.4358105640125171	-0.916715197044821	1.42295399813073e-6
chr1:1840375-1840893	0.137915867366575	0.486648511881937	-0.306023581278474	0.0218912042995671	0.228149209491768	0.0576079755281979
chr1:1875396-1875844	0.12446031578532	0.6920441362522071	0.625466838725136	3.86609366390201e-5	-1.82481614389335	1.32446212984152e-10
chr1:1891456-1891840	-0.0199477541020688	0.96811428100326	-0.133010990077221	0.522571560135538	0.6782857068166751	5.576884873676551e-5
chr1:1976222-1976676	-0.0663392368386925	0.8210152414887281	-0.260528982810022	0.0771736095521996	-0.498411108111407	5.58910850743752e-4
chr1:2040128-2040337	-0.0937957745969272	0.909731381966355	0.189786798694872	0.6069607432513051	-1.41758289280531	9.93045757573797e-4
chr1:2071248-2071777	0.16625544823769	0.7585554473918441	0.573979434138016	0.0212959158155186	-0.0144246923461526	0.9648748471687448
chr1:2105706-2106113	0.212894143964775	0.499837436857552	-0.3355584182198211	0.109960455303132	0.461158747525599	0.007832365730196309
chr1:2126449-2126983	-0.06275111178315	0.8408349627936691	-0.250822313012911	0.100877747984707	0.124599594153421	0.37391254343326
chr1:2144156-2144442	0.242471977482183	0.6531407741225009	0.5329912581409689	0.057472470358002	0.4827210472470421	0.0753669826605182
chr1:2242944-2243217	0.391215599192028	0.373015680880269	0.231005645394983	0.469181645748529	-0.9737699215802972	0.004209936911680061
chr1:2246517-2246970	-0.0197747002532518	0.966510926556252	0.43748139841524	0.006000406581577879	-1.83399683564521	2.82868312251116e-10
chr1:2313164-2313650	-0.0281773641865796	0.9314785398498672	-0.36801096565564	0.00594775118245772	0.426484848173788	3.44666232647451e-4
chr1:2314088-2314369	0.0360190081491858	0.96322112384247	0.3416698188233531	0.216211095878177	-1.06377123878035	9.2340231229466e-4
chr1:2316408-2316629	0.243207037843041	0.75140046061611	0.946197957071576	0.00504862812328571	-0.004245083062423521	0.992199715466785
chr1:2345781-2346193	0.180854539656144	0.480602437645862	-0.226243567099785	0.190975280683768	0.0494805790427038	0.7690429611940621
chr1:2361500-2361865	0.0122939892649781	0.983723871414205	0.102122139364	0.669262451805346	-0.056439176522674	0.800906209618192
chr1:2479443-2479835	0.13035553166502	0.6909638648084849	0.227449530699763	0.206469122183665	0.7235026463424731	9.58610857171046e-6
chr1:2486335-2486676	0.0427921094407248	0.9488333086454852	-0.425306146261665	0.111971331480714	-1.1409249331456	1.15499733316065e-4
chr1:2703203-2703537	0.0407376830972271	0.9526196598516452	-0.301701894662099	0.279157517828305	0.350707335966671	0.140285541884759
chr1:2718206-2718520	0.4205528129718569	0.362728293603248	-0.628925397882575	0.0797286433668674	1.10389194011537	8.033285633418649e-5
